,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
122,"October 19, 2020","18,266,317 - (-181)","3,847 - (0)","2,067 - (0)",0.45% - (0.00%)
123,"October 19, 2020","18,266,498 - (-145)","3,847 - (0)","2,067 - (0)",0.45% - (0.00%)
124,"October 18, 2020","18,266,643 - (-1,514)","3,847 - (-1)","2,067 - (+1)",0.45% - (+0.04%)
125,"October 17, 2020","18,268,157 - (-1,598)","3,848 - (-1)","2,066 - (0)",0.41% - (+0.02%)
126,"October 16, 2020","18,269,755 - (+116)","3,849 - (0)","2,066 - (0)",0.39% - (+0.02%)
127,"October 16, 2020","18,269,639 - (-144)","3,849 - (0)","2,066 - (+1)",0.37% - (-0.01%)
128,"October 16, 2020","18,269,783 - (-864)","3,849 - (0)","2,065 - (0)",0.38% - (0.00%)
129,"October 15, 2020","18,270,647 - (-1,262)","3,849 - (-2)","2,065 - (0)",0.38% - (+0.01%)
130,"October 15, 2020","18,271,909 - (-153)","3,851 - (-1)","2,065 - (+1)",0.37% - (-0.02%)
131,"October 14, 2020","18,272,062 - (-181)","3,852 - (0)","2,064 - (0)",0.39% - (0.00%)
132,"October 14, 2020","18,272,243 - (-125)","3,852 - (0)","2,064 - (0)",0.39% - (+0.01%)
133,"October 14, 2020","18,272,368 - (-2,765)","3,852 - (+1)","2,064 - (+1)",0.38% - (0.00%)
134,"October 13, 2020","18,275,133 - (-60)","3,851 - (0)","2,063 - (0)",0.38% - (0.00%)
135,"October 13, 2020","18,275,193 - (-41)","3,851 - (0)","2,063 - (0)",0.38% - (0.00%)
136,"October 13, 2020","18,275,234 - (-805)","3,851 - (0)","2,063 - (0)",0.38% - (+0.01%)
137,"October 12, 2020","18,276,039 - (-31)","3,851 - (-2)","2,063 - (+1)",0.37% - (-0.02%)
138,"October 12, 2020","18,276,070 - (-856)","3,853 - (-1)","2,062 - (0)",0.39% - (0.00%)
139,"October 11, 2020","18,276,926 - (-2,224)","3,854 - (0)","2,062 - (+1)",0.39% - (0.00%)
140,"October 10, 2020","18,279,150 - (-228)","3,854 - (0)","2,061 - (0)",0.39% - (0.00%)
141,"October 9, 2020","18,279,378 - (+268)","3,854 - (+1)","2,061 - (0)",0.39% - (+0.01%)
142,"October 9, 2020","18,279,110 - (-59)","3,853 - (0)","2,061 - (+1)",0.38% - (-0.04%)
143,"October 9, 2020","18,279,169 - (+56)","3,853 - (0)","2,060 - (0)",0.42% - (0.00%)
144,"October 9, 2020","18,279,113 - (-989)","3,853 - (+2)","2,060 - (+1)",0.42% - (-0.01%)
