,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
299,"May 29, 2020","18,361,236 - (+379)","3,788 - (-2)","1,986 - (0)",0.74% - (0.00%)
300,"May 29, 2020","18,360,857 - (+44)","3,790 - (+2)","1,986 - (0)",0.74% - (0.00%)
301,"May 28, 2020","18,360,813 - (+20)","3,788 - (-2)","1,986 - (0)",0.74% - (0.00%)
302,"May 28, 2020","18,360,793 - (+160)","3,790 - (+2)","1,986 - (0)",0.74% - (0.00%)
303,"May 28, 2020","18,360,633 - (-2)","3,788 - (-2)","1,986 - (0)",0.74% - (0.00%)
304,"May 28, 2020","18,360,635 - (+7)","3,790 - (+2)","1,986 - (0)",0.74% - (0.00%)
305,"May 28, 2020","18,360,628 - (+33)","3,788 - (-2)","1,986 - (0)",0.74% - (+0.01%)
306,"May 28, 2020","18,360,595 - (+71)","3,790 - (0)","1,986 - (0)",0.73% - (0.00%)
307,"May 28, 2020","18,360,524 - (+59)","3,790 - (0)","1,986 - (0)",0.73% - (0.00%)
308,"May 28, 2020","18,360,465 - (+14)","3,790 - (0)","1,986 - (0)",0.73% - (0.00%)
309,"May 28, 2020","18,360,451 - (+56)","3,790 - (0)","1,986 - (0)",0.73% - (0.00%)
310,"May 28, 2020","18,360,395 - (+19)","3,790 - (0)","1,986 - (0)",0.73% - (0.00%)
311,"May 28, 2020","18,360,376 - (+95)","3,790 - (+3)","1,986 - (0)",0.73% - (0.00%)
312,"May 28, 2020","18,360,281 - (-2)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
313,"May 28, 2020","18,360,283 - (-7)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
314,"May 28, 2020","18,360,290 - (-14)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
315,"May 28, 2020","18,360,304 - (+23)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
316,"May 28, 2020","18,360,281 - (-21)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
317,"May 28, 2020","18,360,302 - (+9)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
318,"May 28, 2020","18,360,293 - (+33)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
319,"May 28, 2020","18,360,260 - (-3)","3,787 - (0)","1,986 - (0)",0.73% - (0.00%)
320,"May 28, 2020","18,360,263 - (+12)","3,787 - (0)","1,986 - (0)",0.73% - (+0.01%)
321,"May 28, 2020","18,360,251 - (+2)","3,787 - (0)","1,986 - (0)",0.72% - (0.00%)
322,"May 28, 2020","18,360,249 - (-3,148)","3,787 - (+6)","1,986 - (+7)",0.72% - (+0.29%)
323,"May 19, 2020","18,363,397 - (-2,565)","3,781 - (+3)","1,979 - (+1)",0.43% - (+0.01%)
324,"May 18, 2020","18,365,962 - (+18,365,962)","3,778 - (+3,778)","1,978 - (+1,978)",0.42% - (+0.42%)
